Entity1,Relation,Entity2
水枝锦,属于,农作物
蓝藻,属于,农作物
农作物,被危害,桑毛虫
成年兔,属于,动物
灭蝇净,属于,农作物药物
慢性腹膜炎,属于,动物疾病
二甲戊灵乳油,属于,农作物药物
多菌灵,防治,炭疽病
螺,属于,动物
二丑,属于,畜牧业药物
百菌清烟剂,属于,农作物药物
花蝇科,科,种蝇
败血灵,属于,畜牧业药物
菜花,属于,农作物
晶体敌百虫,防治,蛴螬
掐不齐,属于,中药
莴苣,感染,软腐病
架豆,别名,四季豆
动物,感染,片形吸虫病
慈菇,属于,农作物
鳙,属于,动物
豆科,科,豆角
鳅,属于,动物
丁灵乳油,属于,农作物药物
鸡腿菇,别名,毛头鬼伞
蟹体,属于,动物
淡竹,属于,竹叶
呕吐,属于,疾病
蛴螬,属于,农作物虫害
黑斑病,属于,农作物病害
石灰水清液,属于,农作物药物
茵陈,属于,畜牧业药物
四季海棠,属于,农作物
水稻立枯病,属于,农作物病害
松,属于,树
出血病,属于,动物疾病
聊玉18号,属于,农作物
豆类,属于,农作物
兰花,被危害,粉虱
敌敌畏乳剂,防治,顶梢卷叶虫
种蝇,属于,害虫
群兔,属于,动物
花萼,属于,农作物
链霉素粉,属于,畜牧业药物
假单孢杆菌,属于,微生物
肺火,属于,动物疾病
双孢菇,属于,微生物
飞节内肿,属于,动物疾病
白茅,属于,白茅根
敌敌威乳剂,防治,蚜虫
来福灵乳油,属于,农作物药物
乐斯本,防治,瓜绢螟
矮丰王,防治,小果症
西红柿,感染,菌核病
桑树,感染,桑芽枯病
柑,属于,中药
甲状腺肿,属于,疾病
白砂糖,属于,畜牧业药物
辛硫磷乳油,防治,地下害虫
茉莉花,属于,木樨科
黑曲霉,属于,农作物虫害
乙磷铝,属于,农作物药物
森锌,防治,霜霉病
莴笋,属于,农作物
石灰氮浊液,属于,农作物药物
鸡,感染,新城疫病毒
呼吸系统疾病,属于,疾病
芸豆,属于,农作物
鞘翅目,目,瓢虫
菱角,属于,农作物
好灭丹,防治,桃小食心虫
扁蓄,属于,畜牧业药物
笨鸡,属于,动物
白斑病毒,属于,害虫
患犬,属于,动物
旋毛虫病,属于,疾病
猪,别名,生猪
肠管发炎,属于,动物疾病
扬粳4038,属于,早熟晚粳稻
鸡白痢,属于,动物疾病
单端孢霉菌,属于,害虫
早佳,属于,农作物
宁粳3号,属于,农作物
温血动物,属于,动物
十字花科,科,莱菔子
乳房炎预防,属于,动物疾病
犬五联苗,属于,畜牧业药物
芦笋王,属于,芦笋
广谱性熏蒸杀虫剂,属于,农作物药物
黄瓜,感染,白粉病
羔,属于,动物
肠道感染,属于,动物疾病
抗生素,属于,畜牧业药物
链球菌,属于,微生物
石榴根皮,属于,畜牧业药物
甘露醇,属于,化学药品
连翘,被危害,害虫
高钾肥,属于,农作物药物
野火病,属于,农作物病害
核桃树,属于,农作物
雏鸡,属于,动物
日本海马,属于,动物
大姜,被危害,蝼蛄
茭白,属于,中药
草豆蔻,属于,农作物
稻恶苗病菌,属于,农作物病害
肝炎病,属于,动物疾病
茶树,被危害,小绿叶蝉
烟草,属于,农作物
第二茬瓜,属于,农作物
大地英雄,属于,农作物药物
大青叶蝉,属于,农作物虫害
碘甘油合剂,属于,畜牧业药物
大黄氨水溶液,属于,畜牧业药物
银纹夜蛾,属于,害虫
竹丛,属于,农作物
中熟中粳稻,属于,农作物
木樨,属于,农作物
寄生虫,属于,动物疾病
滑子蘑,属于,农作物
假桄榔,属于,农作物
害虫,属于,细菌
豆科,科,苦参
香附,属于,农作物
真菌毒素,属于,真菌
赤眼鳟,属于,动物
板兰根,被危害,蚜虫
僵鸡,属于,动物
紫苏,属于,畜牧业药物
青菜,属于,大白菜
鹤望兰,属于,花卉
复方大青叶,属于,畜牧业药物
吡虫啉,防治,烟青虫
