entity1,relation,entity2
桂皮,属于,植物
甲状腺,属于,疾病
农药中毒,属于,疾病
辣椒,病害,蔬菜白粉病
桃褐腐病,别名,果腐病
柴鸡,属于,动物
链霉素,属于,疾病
水稻,虫害,稻水象甲
吡虫啉可湿性粉剂,防治,蒙古灰象甲
鱼苗,别名,鱼花
疟原虫,属于,疾病
板瓜,属于,南瓜苗
杜梨,属于,植物
多菌灵可湿性粉剂,防治,玉米大斑病
马齿苋,别名,马齿菜
丝瓜,虫害,白粉虱
辣椒幼苗,属于,蔬菜
地下害虫,属于,农作物
多菌灵可湿性粉剂,防治,赤霉病
石榴皮,属于,植物
锦鲤,属于,动物
曲霉,包含,微生物
瑞锰锌,防治,霜霉病
冠状病毒,属于,疾病
蚂蟥,属于,动物
蒜薹,种,蒜
三角梅,属于,植物
桃,虫害,潜叶蛾
果树,属于,果园
玉米,包含,甜玉米
烟草,病害,烟田黑胫病
辣椒,病害,日灼病
大肠杆菌病,属于,疾病
西芹,属于,植物
中华鼢鼠,属于,动物
广藿香,属于,中药
鸟巢蕨,属于,植物
甜椒,病害,细菌性病害
彩椒,种,辣椒
小白菜,虫害,菜青虫
除虫精粉,防治,玉米螟
甜瓜,属于,植物
家兔,病害,球虫病
杏鲍菇,属于,植物
多菌灵可湿性粉剂,防治,斑枯病
长颈鹿,属于,动物
辛硫磷乳油,防治,霜霉病
土菌消 水剂,防治,猝倒病
凤尾菇,属于,植物
番茄,病害,茄子绵疫病
瓜类蔬菜,属于,蔬菜
升麻,属于,植物
紫穗槐,属于,植物
草莓,虫害,斜纹夜蛾
夏丝一号,属于,丝瓜
青豌豆,属于,植物
白杨,病害,杨树溃疡病
武运粳23号,属于,农作物
美洲斑潜蝇,属于,动物
落果,属于,农作物
黄瓜,虫害,粉虱
蜂王,属于,动物
棉花,虫害,盲椿象
克螨灵 吡虫啉,防治,蚜虫
水藻,属于,微生物
弓形虫,属于,动物
草药,属于,中药
中熟中粳稻,属于,水稻
杜鹃,属于,年宵花
豌豆芽,科,豆科
黑粉病,属于,疾病
鸡白痢,属于,传染病
黄化曲叶病毒病,病原,病毒
万春植物助长剂,防治,小果症
