实体1,关系,实体2
枣步曲,项门吃,别名
萝卜,蚜虫,被危害
麦,花叶病,被危害
小麦,麦蜘蛛,被危害
敌杀死,莱青虫,防治
烯酰吗啉,绵疫病,防治
黄瓜,蚜虫,被危害
桃,潜叶蛾,被危害
阿维菌素,白粉虱,防治
芥菜,十字花科,科
小麦,禾本科杂草,被危害
氢氧化铜,软腐病,防治
豆科,苦参,科
高粱,有机磷农药,被危害
西瓜,枯萎病,感染
花生,蚜虫,被危害
豆科,豆科牧草,科
桃,食心虫,被危害
水稻,纹枯病,感染
多菌灵,赤霉病,防治
百菌清,白粉病,防治
辛硫磷乳油,地下害虫,防治
玉米,蚜虫,被危害
苦参,豆科,科
丝瓜,病毒病,感染
花菜,菜花,别名
雏鹅,皂素,被危害
鱼,毛金藻,被危害
吡虫啉,病毒病,防治
苗木,梨小食心虫,被危害
叶菜类牧草,禾本科,科
氰霜唑,绵疫病,防治
蔬菜,病毒病,被危害
咪鲜胺乳油,叶斑病,防治
东方美人茶,茶,属于
马铃薯,蔬菜,属于
甲霜灵,绵疫病,防治
异丙隆,禾本科杂草,防治
辛硫磷,蒜蛆,防治
胡萝卜,地下害虫,被危害
大豆,蚜虫,被危害
阿维菌素,蚜虫,防治
水稻,稻瘟病,感染
黄花叶病毒,花叶病,导致
利谷隆,禾本科杂草,防治
大豆,豆荚螟,被危害
莲藕,藕,别名
丝瓜,蔓枯病,感染
真菌,曲霉菌,病原
中国风青春,辣椒,属于
辛硫磷,蚜虫,防治
麦,禾本科杂草,防治
核桃,核桃树,别名
朱砂叶螨,螨目,目
病毒,黄化曲叶病毒病,导致
蔬菜,土壤次生盐渍化,被危害
丝瓜,炭疽病,感染
烟草,烟,别名
传染性法氏囊炎病毒,传染性法氏囊炎,导致
夜蛾,夜蛾科,科
多菌灵可湿性粉剂,根腐病,防治
高锰酸钾,花叶病毒病,防治
曲霉菌病,真菌性疾病,属于
辣椒,蚜虫,被危害
紫花苜蓿,豆科牧草,属于
飞虱,病毒病,导致
除草剂,禾本科杂草,防治
茄子,绵疫病,感染
病毒病,叶片皱缩,不良反应
青枯病,细菌,病原
禾本科,禾本科杂草,科
大白菜,十字花科,科
禾本科杂草,禾本科,科
沧迦病,细菌,病原
病毒病,硬脆,不良反应
高锰酸钾,病毒病,防治
油菜,病毒病,感染
链球菌病,传染病,属于
蔬菜,细菌性病害,被危害
等量式波尔多液,炭疽病,防治
水稻,水稻立枯病,感染
细菌,青枯病,病原
蚜虫,病毒病,导致
核桃,胡桃醌,被危害
乐果,蚜虫,防治
红三叶,豆科,科
杂草稻,禾本科,科
细菌,青枯病,导致
稻飞虱,病毒病,导致
淡水鱼,烂尾病,感染
土隆,蝼蛄,防治
克露,疫病,防治
病毒性传染病,疫病,属于
鱼,鱼病,感染
