entity,relation,entity2
水枝锦,属于,农作物
农作物,包含,蓝藻
桑毛虫,危害,农作物
成年兔,属于,动物
灭蝇净,属于,农作物药物
慢性腹膜炎,属于,动物疾病
二甲戊灵乳油,属于,农作物药物
多菌灵,防治,炭疽病
动物,包含,螺
二丑,属于,畜牧业药物
百菌清烟剂,属于,农作物药物
花蝇科,科,种蝇
败血灵,属于,畜牧业药物
菜花,属于,农作物
晶体敌百虫,防治,蛴螬
中药,包含,掐不齐
莴苣,感染,软腐病
架豆,别名,四季豆
动物,感染,片形吸虫病
农作物,包含,慈菇
鳙,属于,动物
豆科,科,豆角
动物,包含,鳅
丁灵乳油,属于,农作物药物
鸡腿菇,别名,毛头鬼伞
蟹体,属于,动物
淡竹,属于,竹叶
疾病,包含,呕吐
蛴螬,属于,农作物虫害
黑斑病,属于,农作物病害
石灰水清液,属于,农作物药物
茵陈,属于,畜牧业药物
农作物,包含,四季海棠
水稻立枯病,属于,农作物病害
松,属于,树
出血病,属于,动物疾病
聊玉18号,属于,农作物
豆类,属于,农作物
兰花,被危害,粉虱
敌敌畏乳剂,防治,顶梢卷叶虫
害虫,包含,种蝇
群兔,属于,动物
农作物,包含,花萼
链霉素粉,属于,畜牧业药物
微生物,包含,假单孢杆菌
肺火,属于,动物疾病
微生物,包含,双孢菇
飞节内肿,属于,动物疾病
白茅,属于,白茅根
敌敌威乳剂,防治,蚜虫
来福灵乳油,属于,农作物药物
乐斯本,防治,瓜绢螟
矮丰王,防治,小果症
西红柿,感染,菌核病
桑树,感染,桑芽枯病
中药,包含,柑
疾病,包含,甲状腺肿
白砂糖,属于,畜牧业药物
辛硫磷乳油,防治,地下害虫
茉莉花,属于,木樨科
黑曲霉,属于,农作物虫害
乙磷铝,属于,农作物药物
森锌,防治,霜霉病
莴笋,属于,农作物
石灰氮浊液,属于,农作物药物
鸡,感染,新城疫病毒
疾病,包含,呼吸系统疾病
芸豆,属于,农作物
鞘翅目,目,瓢虫
菱角,属于,农作物
好灭丹,防治,桃小食心虫
扁蓄,属于,畜牧业药物
笨鸡,属于,动物
白斑病毒,属于,害虫
患犬,属于,动物
疾病,包含,旋毛虫病
猪,别名,生猪
肠管发炎,属于,动物疾病
扬粳4038,属于,早熟晚粳稻
鸡白痢,属于,动物疾病
单端孢霉菌,属于,害虫
